Account Status,Duration in month,Credit History,Purpose,Credit amount,Savings account or bonds,Present employment since,Instalment rate in percentage of disposable income,Personal status and sex,Other debtors or guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Target
Salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),radio/television,1169,Savings account,> 7 years,4,male : single,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,48,existing credits paid back duly till now,radio/television,5951,Savings account,1 - 4 years,2,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee / official,1,None,yes,2
No Checking account,12,critical account/ other credits existing (not at this bank),education,2096,Savings account,4- 7 years,2,male : single,none,3,real estate,49,none,own,1,unskilled - resident,2,None,yes,1
Salary assignments for at least 1 year,42,existing credits paid back duly till now,furniture/equipment,7882,Savings account,4- 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2,None,yes,1
Salary assignments for at least 1 year,24,delay in paying off in the past,car(new),4870,Savings account,1 - 4 years,3,male : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,None,yes,2
No Checking account,36,existing credits paid back duly till now,education,9055,Savings account,1 - 4 years,2,male : single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes,1
No Checking account,24,existing credits paid back duly till now,furniture/equipment,2835,Savings account,> 7 years,3,male : single,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,36,existing credits paid back duly till now,car(used),6948,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",35,none,rent,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,12,existing credits paid back duly till now,radio/television,3059,Savings account,4- 7 years,2,male : divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,30,critical account/ other credits existing (not at this bank),car(new),5234,Savings account,unemployed,4,male : married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,2
Salary assignments for at least 2 year,12,existing credits paid back duly till now,car(new),1295,Savings account, < 1 year,3,female : divorced/separated/married,none,1,"car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,48,existing credits paid back duly till now,business,4308,Savings account, < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,12,existing credits paid back duly till now,radio/television,1567,Savings account,1 - 4 years,1,female : divorced/separated/married,none,1,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car(new),1199,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,None,yes,2
Salary assignments for at least 1 year,15,existing credits paid back duly till now,car(new),1403,Savings account,1 - 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1282,Savings account,1 - 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,None,yes,2
No Checking account,24,critical account/ other credits existing (not at this bank),radio/television,2424,Savings account,> 7 years,4,male : single,none,4,building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,30,no credits taken/ all credits paid back duly,business,8072,Savings account, < 1 year,2,male : single,none,3,"car or other, not in attribute 6",25,bank,own,3,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,24,existing credits paid back duly till now,car(used),12579,Savings account,> 7 years,4,female : divorced/separated/married,none,2,unknown / no property,44,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
No Checking account,24,existing credits paid back duly till now,radio/television,3430,Savings account,> 7 years,3,male : single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1
No Checking account,9,critical account/ other credits existing (not at this bank),car(new),2134,Savings account,1 - 4 years,4,male : single,none,4,"car or other, not in attribute 6",48,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,6,existing credits paid back duly till now,radio/television,2647,Savings account,1 - 4 years,2,male : single,none,3,real estate,44,none,rent,1,skilled employee / official,2,None,yes,1
Salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car(new),2241,Savings account, < 1 year,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,None,no,1
Salary assignments for at least 2 year,12,critical account/ other credits existing (not at this bank),car(used),1804,Savings account, < 1 year,3,male : single,none,4,building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,10,critical account/ other credits existing (not at this bank),furniture/equipment,2069,Savings account,1 - 4 years,2,male : married/widowed,none,1,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,None,no,1
Salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,1374,Savings account,1 - 4 years,1,male : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
No Checking account,6,no credits taken/ all credits paid back duly,radio/television,426,Savings account,> 7 years,4,male : married/widowed,none,4,"car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 3 year,12,all credits at this bank paid back duly,radio/television,409,Savings account,1 - 4 years,3,female : divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,7,existing credits paid back duly till now,radio/television,2415,Savings account,1 - 4 years,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,60,delay in paying off in the past,business,6836,Savings account,> 7 years,3,male : single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,18,existing credits paid back duly till now,business,1913,Savings account, < 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
